Rectangle 1: x1=352, y1=80, x2=367, y2=95, type_id=3, id=0
Rectangle 2: x1=1280, y1=80, x2=1295, y2=95, type_id=1, id=0
Rectangle 3: x1=1296, y1=80, x2=1311, y2=95, type_id=1, id=1
Rectangle 4: x1=1312, y1=80, x2=1327, y2=95, type_id=1, id=2
Rectangle 5: x1=1328, y1=80, x2=1343, y2=95, type_id=1, id=3
Rectangle 6: x1=1344, y1=80, x2=1359, y2=95, type_id=1, id=4
Rectangle 7: x1=1360, y1=80, x2=1375, y2=95, type_id=1, id=5
Rectangle 8: x1=1376, y1=80, x2=1391, y2=95, type_id=1, id=6
Rectangle 9: x1=1392, y1=80, x2=1407, y2=95, type_id=1, id=7
Rectangle 10: x1=1456, y1=80, x2=1471, y2=95, type_id=1, id=8
Rectangle 11: x1=1472, y1=80, x2=1487, y2=95, type_id=1, id=9
Rectangle 12: x1=1488, y1=80, x2=1503, y2=95, type_id=1, id=10
Rectangle 13: x1=1504, y1=80, x2=1519, y2=95, type_id=3, id=1
Rectangle 14: x1=1744, y1=80, x2=1759, y2=95, type_id=3, id=2
Rectangle 15: x1=1936, y1=80, x2=1951, y2=95, type_id=1, id=11
Rectangle 16: x1=1952, y1=80, x2=1967, y2=95, type_id=1, id=12
Rectangle 17: x1=1968, y1=80, x2=1983, y2=95, type_id=1, id=13
Rectangle 18: x1=2048, y1=80, x2=2063, y2=95, type_id=1, id=14
Rectangle 19: x1=2064, y1=80, x2=2079, y2=95, type_id=3, id=3
Rectangle 20: x1=2080, y1=80, x2=2095, y2=95, type_id=3, id=4
Rectangle 21: x1=2096, y1=80, x2=2111, y2=95, type_id=1, id=15
Rectangle 22: x1=3008, y1=80, x2=3023, y2=95, type_id=2, id=0
Rectangle 23: x1=3024, y1=80, x2=3039, y2=95, type_id=2, id=0
Rectangle 24: x1=2992, y1=96, x2=3007, y2=111, type_id=2, id=0
Rectangle 25: x1=3008, y1=96, x2=3023, y2=111, type_id=2, id=0
Rectangle 26: x1=3024, y1=96, x2=3039, y2=111, type_id=2, id=0
Rectangle 27: x1=2976, y1=112, x2=2991, y2=127, type_id=2, id=0
Rectangle 28: x1=2992, y1=112, x2=3007, y2=127, type_id=2, id=0
Rectangle 29: x1=3008, y1=112, x2=3023, y2=127, type_id=2, id=0
Rectangle 30: x1=3024, y1=112, x2=3039, y2=127, type_id=2, id=0
Rectangle 31: x1=2960, y1=128, x2=2975, y2=143, type_id=2, id=0
Rectangle 32: x1=2976, y1=128, x2=2991, y2=143, type_id=2, id=0
Rectangle 33: x1=2992, y1=128, x2=3007, y2=143, type_id=2, id=0
Rectangle 34: x1=3008, y1=128, x2=3023, y2=143, type_id=2, id=0
Rectangle 35: x1=3024, y1=128, x2=3039, y2=143, type_id=2, id=0
Rectangle 36: x1=256, y1=144, x2=271, y2=159, type_id=3, id=5
Rectangle 37: x1=320, y1=144, x2=335, y2=159, type_id=1, id=16
Rectangle 38: x1=336, y1=144, x2=351, y2=159, type_id=3, id=6
Rectangle 39: x1=352, y1=144, x2=367, y2=159, type_id=1, id=17
Rectangle 40: x1=368, y1=144, x2=383, y2=159, type_id=3, id=7
Rectangle 41: x1=384, y1=144, x2=399, y2=159, type_id=1, id=18
Rectangle 42: x1=736, y1=144, x2=751, y2=159, type_id=0, id=0
Rectangle 43: x1=752, y1=144, x2=767, y2=159, type_id=0, id=0
Rectangle 44: x1=912, y1=144, x2=927, y2=159, type_id=0, id=0
Rectangle 45: x1=928, y1=144, x2=943, y2=159, type_id=0, id=0
Rectangle 46: x1=1232, y1=144, x2=1247, y2=159, type_id=1, id=19
Rectangle 47: x1=1248, y1=144, x2=1263, y2=159, type_id=3, id=8
Rectangle 48: x1=1264, y1=144, x2=1279, y2=159, type_id=1, id=20
Rectangle 49: x1=1504, y1=144, x2=1519, y2=159, type_id=1, id=21
Rectangle 50: x1=1600, y1=144, x2=1615, y2=159, type_id=1, id=22
Rectangle 51: x1=1616, y1=144, x2=1631, y2=159, type_id=1, id=23
Rectangle 52: x1=1696, y1=144, x2=1711, y2=159, type_id=3, id=9
Rectangle 53: x1=1744, y1=144, x2=1759, y2=159, type_id=3, id=10
Rectangle 54: x1=1792, y1=144, x2=1807, y2=159, type_id=3, id=11
Rectangle 55: x1=1888, y1=144, x2=1903, y2=159, type_id=3, id=12
Rectangle 56: x1=2064, y1=144, x2=2079, y2=159, type_id=1, id=24
Rectangle 57: x1=2080, y1=144, x2=2095, y2=159, type_id=1, id=25
Rectangle 58: x1=2192, y1=144, x2=2207, y2=159, type_id=2, id=0
Rectangle 59: x1=2240, y1=144, x2=2255, y2=159, type_id=2, id=0
Rectangle 60: x1=2688, y1=144, x2=2703, y2=159, type_id=1, id=26
Rectangle 61: x1=2704, y1=144, x2=2719, y2=159, type_id=1, id=27
Rectangle 62: x1=2720, y1=144, x2=2735, y2=159, type_id=3, id=13
Rectangle 63: x1=2944, y1=144, x2=2959, y2=159, type_id=2, id=0
Rectangle 64: x1=2960, y1=144, x2=2975, y2=159, type_id=2, id=0
Rectangle 65: x1=2976, y1=144, x2=2991, y2=159, type_id=2, id=0
Rectangle 66: x1=2992, y1=144, x2=3007, y2=159, type_id=2, id=0
Rectangle 67: x1=3008, y1=144, x2=3023, y2=159, type_id=2, id=0
Rectangle 68: x1=3024, y1=144, x2=3039, y2=159, type_id=2, id=0
